NUTS 3 CODE,LAU CODE,LAU NAME NATIONAL,LAU NAME LATIN,CHANGE (Y/N),POPULATION,TOTAL AREA (km2),DEGURBA,DEG change compared to last year,COASTAL AREA (yes/no),COAST change compared to last year,CITY_ID,CITY_ID change compared to last year,CITY_NAME,GREATER_CITY_ID,GREATER_CITY_ID change compared to last year,GREATER_CITY_NAME,FUA_ID,FUA_ID change compared to last year,FUA_NAME
DEF06,01053037,Grambek,Grambek,no,,,,,,,,,,,,,,,
DEF06,01053038,Grinau,Grinau,no,,,,,,,,,,,,,,,
DEF06,01053039,Groß Boden,Groß Boden,no,,,,,,,,,,,,,,,
DEF06,01053040,Groß Disnack,Groß Disnack,no,,,,,,,,,,,,,,,
DEF06,01053041,Groß Grönau,Groß Grönau,no,,,,,,,,,,,,,,,
DEF06,01053042,Groß Pampau,Groß Pampau,no,,,,,,,,,,,,,,,
DEF06,01053043,Groß Sarau,Groß Sarau,no,,,,,,,,,,,,,,,
DEF06,01053044,Groß Schenkenberg,Groß Schenkenberg,no,,,,,,,,,,,,,,,
DEF06,01053045,Grove,Grove,no,,,,,,,,,,,,,,,
DEF06,01053046,Gudow,Gudow,no,,,,,,,,,,,,,,,
DEF06,01053047,Gülzow,Gülzow,no,,,,,,,,,,,,,,,
DEF06,01053048,Güster,Güster,no,,,,,,,,,,,,,,,
DEF06,01053049,Hamfelde,Hamfelde,no,,,,,,,,,,,,,,,
DEF06,01053050,Hamwarde,Hamwarde,no,,,,,,,,,,,,,,,
DEF06,01053051,Harmsdorf,Harmsdorf,no,,,,,,,,,,,,,,,
DEF06,01053052,Havekost,Havekost,no,,,,,,,,,,,,,,,
DEF06,01053053,Hohenhorn,Hohenhorn,no,,,,,,,,,,,,,,,
DEF06,01053054,Hollenbek,Hollenbek,no,,,,,,,,,,,,,,,
DEF06,01053056,Hornbek,Hornbek,no,,,,,,,,,,,,,,,
DEF06,01053057,Horst,Horst,no,,,,,,,,,,,,,,,
DEF06,01053058,Juliusburg,Juliusburg,no,,,,,,,,,,,,,,,
DEF06,01053059,Kankelau,Kankelau,no,,,,,,,,,,,,,,,
DEF06,01053060,Kasseburg,Kasseburg,no,,,,,,,,,,,,,,,
DEF06,01053061,Kastorf,Kastorf,no,,,,,,,,,,,,,,,
DEF06,01053062,Kittlitz,Kittlitz,no,,,,,,,,,,,,,,,
DEF06,01053064,Klein Pampau,Klein Pampau,no,,,,,,,,,,,,,,,
DEF06,01053066,Klein Zecher,Klein Zecher,no,,,,,,,,,,,,,,,
DEF06,01053067,Klempau,Klempau,no,,,,,,,,,,,,,,,
DEF06,01053068,Klinkrade,Klinkrade,no,,,,,,,,,,,,,,,
DEF06,01053069,Koberg,Koberg,no,,,,,,,,,,,,,,,
DEF06,01053070,Köthel,Köthel,no,,,,,,,,,,,,,,,
DEF06,01053071,Kollow,Kollow,no,,,,,,,,,,,,,,,
DEF06,01053072,Kröppelshagen-Fahrendorf,Kröppelshagen-Fahrendorf,no,,,,,,,,,,,,,,,
DEF06,01053073,Krüzen,Krüzen,no,,,,,,,,,,,,,,,
DEF06,01053074,Krukow,Krukow,no,,,,,,,,,,,,,,,
DEF06,01053075,Krummesse,Krummesse,no,,,,,,,,,,,,,,,
DEF06,01053076,Kuddewörde,Kuddewörde,no,,,,,,,,,,,,,,,
DEF06,01053077,Kühsen,Kühsen,no,,,,,,,,,,,,,,,
DEF06,01053078,Kulpin,Kulpin,no,,,,,,,,,,,,,,,
DEF06,01053079,Labenz,Labenz,no,,,,,,,,,,,,,,,
DEF06,01053080,Langenlehsten,Langenlehsten,no,,,,,,,,,,,,,,,
DEF06,01053081,Lankau,Lankau,no,,,,,,,,,,,,,,,
DEF06,01053082,Lanze,Lanze,no,,,,,,,,,,,,,,,
DEF06,01053083,"Lauenburg/ Elbe, Stadt","Lauenburg/ Elbe, Stadt",no,,,,,,,,,,,,,,,
DEF06,01053084,Lehmrade,Lehmrade,no,,,,,,,,,,,,,,,
DEF06,01053085,Linau,Linau,no,,,,,,,,,,,,,,,
DEF06,01053086,Lüchow,Lüchow,no,,,,,,,,,,,,,,,
DEF06,01053087,Lütau,Lütau,no,,,,,,,,,,,,,,,
DEF06,01053088,Mechow,Mechow,no,,,,,,,,,,,,,,,
DEF06,01053089,Möhnsen,Möhnsen,no,,,,,,,,,,,,,,,
DEF06,01053090,"Mölln, Stadt","Mölln, Stadt",no,,,,,,,,,,,,,,,
DEF06,01053091,Mühlenrade,Mühlenrade,no,,,,,,,,,,,,,,,
DEF06,01053092,Müssen,Müssen,no,,,,,,,,,,,,,,,
DEF06,01053093,Mustin,Mustin,no,,,,,,,,,,,,,,,
DEF06,01053094,Niendorf bei Berkenthin,Niendorf bei Berkenthin,no,,,,,,,,,,,,,,,
DEF06,01053095,Niendorf/ Stecknitz,Niendorf/ Stecknitz,no,,,,,,,,,,,,,,,
DEF06,01053096,Nusse,Nusse,no,,,,,,,,,,,,,,,
DEF06,01053097,Panten,Panten,no,,,,,,,,,,,,,,,
DEF06,01053098,Pogeez,Pogeez,no,,,,,,,,,,,,,,,
DEF06,01053099,Poggensee,Poggensee,no,,,,,,,,,,,,,,,
DEF06,01053100,"Ratzeburg, Stadt","Ratzeburg, Stadt",no,,,,,,,,,,,,,,,
DEF06,01053101,Ritzerau,Ritzerau,no,,,,,,,,,,,,,,,
DEF06,01053102,Römnitz,Römnitz,no,,,,,,,,,,,,,,,
DEF06,01053103,Rondeshagen,Rondeshagen,no,,,,,,,,,,,,,,,
DEF06,01053104,Roseburg,Roseburg,no,,,,,,,,,,,,,,,
DEF06,01053105,"Sachsenwald (Forstgutsbez.),gemfr.Geb.","Sachsenwald (Forstgutsbez.),gemfr.Geb.",no,,,,,,,,,,,,,,,
DEF06,01053106,Sahms,Sahms,no,,,,,,,,,,,,,,,
DEF06,01053107,Salem,Salem,no,,,,,,,,,,,,,,,
DEF06,01053108,Sandesneben,Sandesneben,no,,,,,,,,,,,,,,,
DEF06,01053109,Schiphorst,Schiphorst,no,,,,,,,,,,,,,,,
DEF06,01053110,Schmilau,Schmilau,no,,,,,,,,,,,,,,,
